roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,pred_positive_rate,partial_roc_auc_fpr_0_01,partial_roc_auc_fpr_0_03,partial_roc_auc_fpr_0_05,partial_roc_auc_fpr_0_1,model,base_config,split,seed,eval_metric,elapsed_sec,used_device,best_iteration,gpu_fallback_error
0.88539697014298,0.4783503423210129,0.2967459932005828,0.6273100616016427,0.402901417738213,0.07876214520694667,0.639388504835302,0.7019076890969922,0.7322704111987723,0.7757311652467278,lgbm_pr_default_seed42,lgbm_pr_default,val,42,average_precision,61.194506883621216,cpu_after_gpu_fallback,1321,LightGBMError('No OpenCL device found')
0.8702993297769992,0.4801779498684348,0.31298101590559263,0.6262833675564682,0.41737940472117685,0.07455435697345268,0.6454093574296511,0.709748997595489,0.739203779998714,0.7767989277407599,lgbm_pr_default_seed42,lgbm_pr_default,test,42,average_precision,61.194506883621216,cpu_after_gpu_fallback,1321,LightGBMError('No OpenCL device found')
0.8813810005795959,0.4759377354782537,0.3212520593080725,0.6006160164271047,0.4186046511627907,0.06965802157447785,0.6413865316667549,0.7024193889681097,0.7327200197456225,0.7711486666512309,lgbm_pr_default_seed2026,lgbm_pr_default,val,2026,average_precision,77.04300928115845,cpu_after_gpu_fallback,1753,LightGBMError('No OpenCL device found')
0.8608094671568863,0.4742773249883011,0.3399532710280374,0.5975359342915811,0.43335815338793743,0.06548848596128835,0.6452731190096381,0.7090381668911208,0.7378449965288179,0.7727605302697657,lgbm_pr_default_seed2026,lgbm_pr_default,test,2026,average_precision,77.04300928115845,cpu_after_gpu_fallback,1753,LightGBMError('No OpenCL device found')
0.885647769371752,0.47798408588787905,0.30683544303797466,0.62217659137577,0.41098677517802645,0.07554892510136944,0.6409704776534257,0.7009737289782659,0.7321634691323524,0.7749920920477398,lgbm_pr_default_seed777,lgbm_pr_default,val,777,average_precision,68.33868670463562,cpu_after_gpu_fallback,1455,LightGBMError('No OpenCL device found')
0.8665077659646682,0.4808547254723139,0.32165948275862066,0.6129363449691991,0.4219081272084806,0.07099686328513503,0.6460426221409127,0.709535255547447,0.7388664689895287,0.7755198113098007,lgbm_pr_default_seed777,lgbm_pr_default,test,777,average_precision,68.33868670463562,cpu_after_gpu_fallback,1455,LightGBMError('No OpenCL device found')
0.8974991547560147,0.45084137296852916,0.21701232341448753,0.7412731006160165,0.3357358753778191,0.1272664677530411,0.6185559571722231,0.688323355545852,0.7234393395311532,0.7740909607914658,lgbm_auc_default_seed42,lgbm_auc_default,val,42,auc,23.78172755241394,cpu_after_gpu_fallback,375,LightGBMError('No OpenCL device found')
0.8921724043177282,0.4545449412684897,0.2177668106107341,0.7248459958932238,0.3349146110056926,0.12401499502715936,0.6264520457259399,0.6978380173099545,0.7321033037600864,0.7778426864048972,lgbm_auc_default_seed42,lgbm_auc_default,test,42,auc,23.78172755241394,cpu_after_gpu_fallback,375,LightGBMError('No OpenCL device found')
0.8982643004512755,0.4468391110164266,0.21569802276812464,0.7392197125256673,0.3339517625231911,0.1276872465763905,0.6174563741373899,0.6883878246645213,0.7234723760943947,0.7742383331424478,lgbm_auc_default_seed2026,lgbm_auc_default,val,2026,auc,24.374406576156616,cpu_after_gpu_fallback,381,LightGBMError('No OpenCL device found')
0.891617386603503,0.4502976831820565,0.21629126812712127,0.7197125256673511,0.33262158956109134,0.12397674240685487,0.6254366738601427,0.6973432754952072,0.7313868421226156,0.7754913631214192,lgbm_auc_default_seed2026,lgbm_auc_default,test,2026,auc,24.374406576156616,cpu_after_gpu_fallback,381,LightGBMError('No OpenCL device found')
0.8981921773158706,0.4515909293651896,0.21475312314098752,0.7412731006160165,0.33302583025830257,0.12860530946369828,0.620100211258354,0.6879874258812485,0.724487321574526,0.7751515307246617,lgbm_auc_default_seed777,lgbm_auc_default,val,777,auc,23.598087310791016,cpu_after_gpu_fallback,367,LightGBMError('No OpenCL device found')
0.8929400792179634,0.4521261718402785,0.2170186715641261,0.7279260780287474,0.334355104928083,0.12497131053477163,0.627194776757224,0.696921879382278,0.7315614388531204,0.7778294177404294,lgbm_auc_default_seed777,lgbm_auc_default,test,777,auc,23.598087310791016,cpu_after_gpu_fallback,367,LightGBMError('No OpenCL device found')
0.8979549827622444,0.4560301806798547,0.22381994373241637,0.7351129363449692,0.3431583992331656,0.12237013235406625,0.6217451579594571,0.6905455384221247,0.7259994472484241,0.7769588817056223,lgbm_auc_more_leaves_seed42,lgbm_auc_more_leaves,val,42,auc,32.13486337661743,cpu_after_gpu_fallback,350,LightGBMError('No OpenCL device found')
0.8910814807042873,0.453582536536837,0.22386144964720975,0.7166324435318275,0.3411534701857282,0.1192716701094025,0.6239672832572931,0.6991718240139349,0.7338147952189967,0.7779949969319756,lgbm_auc_more_leaves_seed42,lgbm_auc_more_leaves,test,42,auc,32.13486337661743,cpu_after_gpu_fallback,350,LightGBMError('No OpenCL device found')
0.8977111388471525,0.4545887400763786,0.22602089268755934,0.7330595482546202,0.345511734817324,0.12084002754188662,0.6210014429612514,0.6908022690859132,0.7263247084473087,0.7764990945703835,lgbm_auc_more_leaves_seed2026,lgbm_auc_more_leaves,val,2026,auc,31.65424680709839,cpu_after_gpu_fallback,363,LightGBMError('No OpenCL device found')
