base_config,n_runs,pr_auc_mean,pr_auc_std,pr_auc_max,roc_auc_mean,roc_auc_std,roc_auc_max,partial_auc_5_mean,precision_0_5_mean,recall_0_5_mean,elapsed_sec_mean
lgbm_auc_unweighted,3,0.4942015503464285,0.002365096467143599,0.4966652740942851,0.898507865609905,0.0001488573291643716,0.8986526557957629,0.7439012953401029,0.7397981877439243,0.2645448323066393,29.616962671279907
lgbm_pr_default,3,0.47843666677634994,0.0036179551388675845,0.4808547254723139,0.8658721876328513,0.004776750255043695,0.8702993297769992,0.7386384151723536,0.3248645898974169,0.6122518822724161,68.8587342898051
lgbm_pr_regularized,3,0.47040739887084165,0.004218500935668387,0.473997252230453,0.879432254945602,0.004864301206482978,0.8850368643863136,0.7382510081925656,0.2616170595842215,0.6776180698151951,72.85022393862407
lgbm_auc_more_leaves,3,0.452542160363393,0.004963465375494958,0.4569029764353493,0.8909717050496638,0.0005674439095179815,0.8914762406484686,0.7334331899997242,0.22288529890283204,0.71492128678987,32.051644484202065
lgbm_auc_default,3,0.4523229320969415,0.0021304544731452725,0.4545449412684897,0.8922432900463981,0.0006641893765965993,0.8929400792179634,0.7316838615786074,0.2170255834339938,0.7241615331964408,23.918073813120525
