threshold,precision,recall,f1,pred_positive_rate,pred_positive_count
0.1,0.05417386298215314,0.9661190965092402,0.1025948539031836,0.6644480146890062,17370
0.15,0.07044315992292871,0.9383983572895277,0.13104882070399312,0.4963277484507689,12975
0.2,0.08770894788593904,0.9158110882956879,0.16008614501076812,0.38902914849667203,10170
0.25,0.1041191305392098,0.8901437371663244,0.186431566498226,0.31852956927549536,8327
0.3,0.12374926427310183,0.8634496919917864,0.2164736164736165,0.2599648075893199,6796
0.35,0.14295688601850234,0.8408624229979466,0.24436819334626286,0.2191492617244281,5729
0.4,0.16077302631578946,0.8028747433264887,0.26789996574169234,0.18606074516104354,4864
0.45,0.18068236424795772,0.7720739219712526,0.29283489096573206,0.15920740570729094,4162
0.5,0.2028862478777589,0.7361396303901437,0.3181011535048802,0.1351847601560707,3534
0.55,0.2295523392797038,0.7002053388090349,0.3457541191381496,0.11364853492464234,2971
0.6,0.2541241162608013,0.6642710472279261,0.36761363636363636,0.09739117129523372,2546
0.65,0.2882713141780499,0.6283367556468172,0.3952211817888279,0.08121031290643409,2123
0.7,0.32491582491582494,0.5944558521560575,0.42017416545718433,0.06816616938260271,1782
0.75,0.36983471074380164,0.5513347022587269,0.4427040395713108,0.05554280468212072,1452
0.8,0.4212358572671889,0.49691991786447637,0.45595854922279794,0.04395226072986,1149
0.85,0.4829106945975744,0.44969199178644764,0.46570972886762363,0.03469512661617321,907
0.9,0.5603715170278638,0.37166324435318276,0.4469135802469136,0.024711192716701094,646
