model,split,roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,pred_positive_rate
catboost,val,0.8937942570076927,0.442340520720501,0.2028862478777589,0.7361396303901437,0.3181011535048802,0.1351847601560707
catboost,test,0.8922903590948905,0.4458211374763192,0.20830929024812464,0.7412731006160165,0.32522522522522523,0.13258358197536532
extra_trees,val,0.8767223070004478,0.38809632203891636,0.2732732732732733,0.5605749486652978,0.3674293405114401,0.07642873536837273
extra_trees,test,0.8740134468853902,0.4099307615973918,0.29045431342521694,0.5841889117043121,0.3879986362086601,0.07493688317649759
