top_rate,top_k,precision_at_k,recall_at_k,fraud_found,total_fraud
0.01,262,0.7404580152671756,0.19917864476386038,194,974
0.03,785,0.5210191082802548,0.419917864476386,409,974
0.05,1308,0.39908256880733944,0.5359342915811088,522,974
0.1,2615,0.25239005736137665,0.6776180698151951,660,974
