roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,variant,split,n_features,n_categorical,best_iteration,elapsed_sec
0.8937951952611509,0.44233578666520174,0.2028862478777589,0.7361396303901437,0.3181011535048802,0.1351847601560707,3534,26142,974,full_base,val,82,16,1149,59.23025298118591
0.8922950095685535,0.4458246290434106,0.20830929024812464,0.7412731006160165,0.32522522522522523,0.13258358197536532,3466,26142,974,full_base,test,82,16,1149,59.23025298118591
0.8924632424929932,0.43528946302049465,0.19609967497291442,0.7433264887063655,0.3103300471495928,0.14122867416418025,3692,26142,974,with_sparse_identity,val,93,18,942,52.0299129486084
0.891694506958414,0.4421639646242489,0.20077972709551656,0.7402464065708418,0.31588170865279297,0.13736515951342668,3591,26142,974,with_sparse_identity,test,93,18,942,52.0299129486084
0.867330655041244,0.3097015260578556,0.14361181764820974,0.7535934291581109,0.24124897288414132,0.19550914237625278,5111,26142,974,without_identity,val,28,3,939,30.67281413078308
0.85832121898542,0.3168407154025894,0.14358660130718953,0.7217659137577002,0.23952299829642248,0.18728482901078725,4896,26142,974,without_identity,test,28,3,939,30.67281413078308
0.8870590453507665,0.429494748850206,0.18254172015404366,0.7299794661190965,0.2920517560073937,0.1489939560859919,3895,26142,974,without_email_domain,val,81,15,1020,50.12062931060791
0.8868383722167322,0.42463774555044465,0.18997361477572558,0.7392197125256673,0.3022670025188917,0.14497743095402035,3790,26142,974,without_email_domain,test,81,15,1020,50.12062931060791
0.8720253897912802,0.4078194750267463,0.185283218634198,0.7186858316221766,0.2946127946127946,0.14451839951036646,3778,26142,974,without_amount,val,71,16,805,42.041709184646606
0.8790486248630965,0.43004587484552315,0.1894536558847513,0.715605749486653,0.29959166129378895,0.14073139010022187,3679,26142,974,without_amount,test,71,16,805,42.041709184646606
0.8848852548655377,0.42489596231829707,0.19487179487179487,0.702258726899384,0.3050847457627119,0.13426669726876292,3510,26142,974,without_activity_time,val,77,16,1122,56.588234186172485
0.8776827113991106,0.42969389218379705,0.1981903093987157,0.6971252566735113,0.30863636363636365,0.1310534771631857,3426,26142,974,without_activity_time,test,77,16,1122,56.588234186172485
0.8898977107921013,0.43765141412599534,0.19631735716219875,0.74435318275154,0.31069209342189846,0.14126692678448474,3693,26142,974,without_flow_risk,val,73,16,942,50.130170822143555
0.8903322649210039,0.43959632136319804,0.20248868778280543,0.7351129363449692,0.31751662971175165,0.13526126539667968,3536,26142,974,without_flow_risk,test,73,16,942,50.130170822143555
