roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,threshold,variant,split
0.8937951952611509,0.44233578666520174,0.2028862478777589,0.7361396303901437,0.3181011535048802,0.1351847601560707,3534,26142,974,0.5,full_base,val
0.8937951952611509,0.44233578666520174,0.32491582491582494,0.5944558521560575,0.42017416545718433,0.06816616938260271,1782,26142,974,0.7,full_base,val
0.8937951952611509,0.44233578666520174,0.36983471074380164,0.5513347022587269,0.4427040395713108,0.05554280468212072,1452,26142,974,0.75,full_base,val
0.8937951952611509,0.44233578666520174,0.4212358572671889,0.49691991786447637,0.45595854922279794,0.04395226072986,1149,26142,974,0.8,full_base,val
0.8937951952611509,0.44233578666520174,0.4829106945975744,0.44969199178644764,0.46570972886762363,0.03469512661617321,907,26142,974,0.85,full_base,val
0.8937951952611509,0.44233578666520174,0.5603715170278638,0.37166324435318276,0.4469135802469136,0.024711192716701094,646,26142,974,0.9,full_base,val
0.8922950095685535,0.4458246290434106,0.20830929024812464,0.7412731006160165,0.32522522522522523,0.13258358197536532,3466,26142,974,0.5,full_base,test
0.8922950095685535,0.4458246290434106,0.33829660512209647,0.5831622176591376,0.4281944967960799,0.06422614949124016,1679,26142,974,0.7,full_base,test
0.8922950095685535,0.4458246290434106,0.38714390065741416,0.5441478439425051,0.45241143832693126,0.05236783719684798,1369,26142,974,0.75,full_base,test
0.8922950095685535,0.4458246290434106,0.4406623735050598,0.4917864476386037,0.4648229015041242,0.04158059827098156,1087,26142,974,0.8,full_base,test
0.8922950095685535,0.4458246290434106,0.5023866348448688,0.4322381930184805,0.46467991169977924,0.03205569581516334,838,26142,974,0.85,full_base,test
0.8922950095685535,0.4458246290434106,0.5965217391304348,0.3521560574948665,0.44286636539703034,0.021995256675082245,575,26142,974,0.9,full_base,test
0.8924632424929932,0.43528946302049465,0.19609967497291442,0.7433264887063655,0.3103300471495928,0.14122867416418025,3692,26142,974,0.5,with_sparse_identity,val
0.8924632424929932,0.43528946302049465,0.3164277839029768,0.5893223819301848,0.4117647058823529,0.06939025323234642,1814,26142,974,0.7,with_sparse_identity,val
0.8924632424929932,0.43528946302049465,0.3621621621621622,0.5503080082135524,0.43683781581092096,0.05661387805064647,1480,26142,974,0.75,with_sparse_identity,val
0.8924632424929932,0.43528946302049465,0.41551724137931034,0.4948665297741273,0.45173383317713217,0.0443730395532094,1160,26142,974,0.8,with_sparse_identity,val
0.8924632424929932,0.43528946302049465,0.47613762486126526,0.4404517453798768,0.4576,0.034465610894346264,901,26142,974,0.85,with_sparse_identity,val
0.8924632424929932,0.43528946302049465,0.569377990430622,0.3665297741273101,0.44597126795752656,0.02398439293091577,627,26142,974,0.9,with_sparse_identity,val
0.891694506958414,0.4421639646242489,0.20077972709551656,0.7402464065708418,0.31588170865279297,0.13736515951342668,3591,26142,974,0.5,with_sparse_identity,test
0.891694506958414,0.4421639646242489,0.3276157804459691,0.5882956878850103,0.4208593463092178,0.06690383291255451,1749,26142,974,0.7,with_sparse_identity,test
0.891694506958414,0.4421639646242489,0.3781094527363184,0.5462012320328542,0.4468710625787484,0.053821436768418635,1407,26142,974,0.75,with_sparse_identity,test
0.891694506958414,0.4421639646242489,0.4309240622140897,0.48357289527720737,0.45573294629898403,0.041810113992808505,1093,26142,974,0.8,with_sparse_identity,test
0.891694506958414,0.4421639646242489,0.5151515151515151,0.43634496919917864,0.4724847137298499,0.03155841175120496,825,26142,974,0.85,with_sparse_identity,test
0.891694506958414,0.4421639646242489,0.5905923344947736,0.3480492813141684,0.437984496124031,0.021957004054777754,574,26142,974,0.9,with_sparse_identity,test
0.867330655041244,0.3097015260578556,0.14361181764820974,0.7535934291581109,0.24124897288414132,0.19550914237625278,5111,26142,974,0.5,without_identity,val
0.867330655041244,0.3097015260578556,0.22465292385359698,0.5482546201232033,0.3187108325872874,0.09092647846377477,2377,26142,974,0.7,without_identity,val
0.867330655041244,0.3097015260578556,0.2618657937806874,0.4928131416837782,0.34200213751335945,0.07011705301813174,1833,26142,974,0.75,without_identity,val
0.867330655041244,0.3097015260578556,0.3002832861189802,0.4353182751540041,0.355406538139145,0.05401269986994109,1412,26142,974,0.8,without_identity,val
0.867330655041244,0.3097015260578556,0.38497109826589593,0.34188911704312114,0.3621533442088091,0.033088516563384594,865,26142,974,0.85,without_identity,val
0.867330655041244,0.3097015260578556,0.4640776699029126,0.24537987679671458,0.3210208193418402,0.01970009945681279,515,26142,974,0.9,without_identity,val
0.85832121898542,0.3168407154025894,0.14358660130718953,0.7217659137577002,0.23952299829642248,0.18728482901078725,4896,26142,974,0.5,without_identity,test
0.85832121898542,0.3168407154025894,0.23046532045654083,0.5390143737166324,0.32287822878228783,0.08713946905363017,2278,26142,974,0.7,without_identity,test
0.85832121898542,0.3168407154025894,0.25728699551569506,0.47125256673511295,0.3328498912255257,0.0682426746232117,1784,26142,974,0.75,without_identity,test
0.85832121898542,0.3168407154025894,0.3008982035928144,0.4127310061601643,0.34805194805194806,0.051105500726799785,1336,26142,974,0.8,without_identity,test
0.85832121898542,0.3168407154025894,0.3758782201405152,0.3295687885010267,0.35120350109409193,0.032667737740035195,854,26142,974,0.85,without_identity,test
0.85832121898542,0.3168407154025894,0.48903508771929827,0.22895277207392198,0.3118881118881119,0.017443194858847832,456,26142,974,0.9,without_identity,test
0.8870590453507665,0.429494748850206,0.18254172015404366,0.7299794661190965,0.2920517560073937,0.1489939560859919,3895,26142,974,0.5,without_email_domain,val
0.8870590453507665,0.429494748850206,0.3125342090859332,0.5862422997946611,0.4077115315958586,0.0698875372963048,1827,26142,974,0.7,without_email_domain,val
0.8870590453507665,0.429494748850206,0.3564154786150713,0.5390143737166324,0.42909685328974256,0.05634610970851504,1473,26142,974,0.75,without_email_domain,val
0.8870590453507665,0.429494748850206,0.40627650551314676,0.4917864476386037,0.444960520204366,0.045099839338994724,1179,26142,974,0.8,without_email_domain,val
0.8870590453507665,0.429494748850206,0.4684095860566449,0.4414784394250513,0.45454545454545453,0.03511590543952261,918,26142,974,0.85,without_email_domain,val
0.8870590453507665,0.429494748850206,0.5537974683544303,0.3593429158110883,0.43586550435865506,0.024175656032438222,632,26142,974,0.9,without_email_domain,val
0.8868383722167322,0.42463774555044465,0.18997361477572558,0.7392197125256673,0.3022670025188917,0.14497743095402035,3790,26142,974,0.5,without_email_domain,test
0.8868383722167322,0.42463774555044465,0.3221590909090909,0.582135523613963,0.41477688368690563,0.06732461173590391,1760,26142,974,0.7,without_email_domain,test
0.8868383722167322,0.42463774555044465,0.361731843575419,0.5318275154004107,0.4305901911886949,0.054777752276030905,1432,26142,974,0.75,without_email_domain,test
0.8868383722167322,0.42463774555044465,0.42342342342342343,0.48254620123203285,0.4510556621880998,0.04246040853798485,1110,26142,974,0.8,without_email_domain,test
0.8868383722167322,0.42463774555044465,0.49403341288782815,0.42505133470225875,0.45695364238410596,0.03205569581516334,838,26142,974,0.85,without_email_domain,test
