roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,model,split,best_iteration,elapsed_sec,depth,learning_rate,l2_leaf_reg,iterations_requested
0.894706484130952,0.4648463523449309,0.2207593386405389,0.7402464065708418,0.3400943396226415,0.12493305791446714,cb_depth6_lr004_l2_3,val,1447,695.7046899795532,6,0.04,3,3000
0.8932931276768779,0.46594636582670257,0.22075055187637968,0.7186858316221766,0.33775633293124246,0.12129905898554051,cb_depth6_lr004_l2_3,test,1447,695.7046899795532,6,0.04,3,3000
0.8945485108041109,0.4637042802091011,0.21305238513315775,0.7474332648870636,0.33158733773627874,0.13070920358044527,cb_depth5_lr004_l2_3,val,1942,760.1787188053131,5,0.04,3,3000
0.890599320410782,0.4619696437912982,0.21379310344827587,0.7320328542094456,0.33093525179856115,0.12757248871547702,cb_depth5_lr004_l2_3,test,1942,760.1787188053131,5,0.04,3,3000
0.8961911478478587,0.47258380216763707,0.2217139371759683,0.7464065708418891,0.34187632259581474,0.12543034197842554,cb_depth6_lr003_l2_6,val,2132,997.8154718875885,6,0.03,6,3500
0.8922526453852289,0.4666993281162889,0.22159447583176398,0.7248459958932238,0.33942307692307694,0.12187284829010787,cb_depth6_lr003_l2_6,test,2132,997.8154718875885,6,0.03,6,3500
0.8967309291417935,0.4730770786693404,0.23852596314907873,0.731006160164271,0.35968678959333167,0.11418407160890522,cb_depth7_lr003_l2_8,val,1889,1063.30899643898,7,0.03,8,3500
0.8902594890875413,0.47082686773559745,0.23624484181568087,0.7053388090349076,0.35394126738794435,0.11123861984545941,cb_depth7_lr003_l2_8,test,1889,1063.30899643898,7,0.03,8,3500
0.8959114055395789,0.46459595376102913,0.19983731019522777,0.7566735112936345,0.3161733161733162,0.1410756636829623,cb_depth4_lr006_l2_3,val,1670,523.8040480613708,4,0.06,3,2500
0.8901646846946221,0.4611082827228004,0.2029800393590104,0.7412731006160165,0.3186934451555948,0.136064570423074,cb_depth4_lr006_l2_3,test,1670,523.8040480613708,4,0.06,3,2500
0.8980247194703747,0.46674861324477485,0.21550205519671167,0.7535934291581109,0.33515981735159817,0.13028842475709587,cb_depth6_lr005_l2_10,val,1136,561.5611307621002,6,0.05,10,2500
0.8945019856706667,0.4653204695900598,0.21419975932611313,0.731006160164271,0.3313168915774779,0.12715170989212762,cb_depth6_lr005_l2_10,test,1136,561.5611307621002,6,0.05,10,2500
