line,rows,fraud_rate,score_rank_1,score_rank_100,score_rank_1000,score_rank_5000,fraud_found_top_100,fraud_found_top_1000,fraud_found_top_5000
LightGBM all,5000,0.7362,0.9944869793539596,0.9397407298016228,0.7829690974672969,0.2930717424585318,100,974,3681
LightGBM test,5000,0.157,0.9891500456305996,0.7753637557915691,0.1839726529347252,0.0287954745268423,87,498,785
CatBoost all,5000,0.659,0.999790543727777,0.9963053523042832,0.9787173438356689,0.8780969107143548,98,892,3295
CatBoost test,5000,0.1542,0.9994905207374112,0.9818794683028426,0.7884926074426316,0.3372962726454257,84,484,771
