model,target_fpr,actual_fpr,recall_at_fpr,precision_at_fpr,threshold,pred_positive_rate,pred_positive_count
CatBoost v1.1 longrun,0.01,0.009972981563890655,0.4004106776180698,0.608424336973479,0.8757925660392539,0.02451992961517864,641
CatBoost v1.1 longrun,0.03,0.029481881754609026,0.5564681724845996,0.4221183800623053,0.7315443524950836,0.04911636447096626,1284
CatBoost v1.1 longrun,0.05,0.04962650985378258,0.6170431211498973,0.3248648648648649,0.6351240829534973,0.07076734756330809,1850
LightGBM v1.4 (lgbm_auc_unweighted_seed2026),0.01,0.009972981563890655,0.41478439425051333,0.616793893129771,0.3048805554740438,0.02505546629944151,655
LightGBM v1.4 (lgbm_auc_unweighted_seed2026),0.03,0.029918944691671966,0.5616016427104723,0.4207692307692308,0.13634483441620554,0.049728406395838115,1300
LightGBM v1.4 (lgbm_auc_unweighted_seed2026),0.05,0.04998410680228862,0.6437371663244353,0.33262599469496024,0.09129071528267689,0.07210618927396527,1885
