bootstrap_iter,roc_auc,pr_auc,top5_precision,top5_recall,recall_at_fpr_0_01,precision_at_fpr_0_01,recall_at_fpr_0_03,precision_at_fpr_0_03,recall_at_fpr_0_05,precision_at_fpr_0_05
0,0.8955453133946034,0.49365100008781776,0.42813455657492355,0.5633802816901409,0.4074446680080483,0.6173780487804879,0.5653923541247485,0.42737642585551333,0.647887323943662,0.3389473684210526
1,0.8985548486961279,0.49790305213289354,0.41284403669724773,0.5672268907563025,0.43067226890756305,0.622154779969651,0.5661764705882353,0.41653786707882534,0.6313025210084033,0.32329209252286173
2,0.8909293419264724,0.4919880771955107,0.4350152905198777,0.5419047619047619,0.3980952380952381,0.6266866566716641,0.5438095238095239,0.43224829674489024,0.6209523809523809,0.34243697478991597
3,0.886119727664973,0.4829099313832597,0.4235474006116208,0.5326923076923077,0.38653846153846155,0.6175115207373272,0.5326923076923077,0.42387146136189746,0.6105769230769231,0.3363347457627119
4,0.9016630771131268,0.5061839271579776,0.4319571865443425,0.5701311806256307,0.43592330978809285,0.6334310850439883,0.5711402623612513,0.4291129643669447,0.6579212916246215,0.34154007333682557
5,0.8930631581511889,0.4880307653897866,0.43119266055045874,0.5578635014836796,0.42037586547972305,0.628698224852071,0.5578635014836796,0.428246013667426,0.6419386745796242,0.34068241469816274
6,0.8995452043199623,0.497211491817732,0.40672782874617736,0.5611814345991561,0.41139240506329117,0.608424336973479,0.5580168776371308,0.4126365054602184,0.6392405063291139,0.3251072961373391
7,0.9087688502700342,0.5239265995605732,0.4327217125382263,0.5895833333333333,0.4354166666666667,0.625748502994012,0.59375,0.43018867924528303,0.678125,0.34083769633507854
8,0.902283229992285,0.5282095986779771,0.441131498470948,0.5845997973657548,0.45491388044579534,0.6432664756446992,0.5866261398176292,0.4346846846846847,0.6666666666666666,0.3439623627809723
9,0.8996914856931929,0.5233077851094986,0.43425076452599387,0.5784114052953157,0.4287169042769857,0.6264880952380952,0.5784114052953157,0.4299772899318698,0.654786150712831,0.33824302998421885
10,0.901808883748189,0.5190805989827983,0.4426605504587156,0.5744047619047619,0.4365079365079365,0.6367583212735166,0.5763888888888888,0.4352059925093633,0.6636904761904762,0.3480749219562955
11,0.9041093430586621,0.4902427711519112,0.40672782874617736,0.5917686318131257,0.43159065628476084,0.6081504702194357,0.5884315906562848,0.411993769470405,0.6696329254727474,0.3233082706766917
12,0.8882352463736207,0.4720160546511986,0.4029051987767584,0.5466804979253111,0.3941908713692946,0.6031746031746031,0.5456431535269709,0.4106167056986729,0.6296680497925311,0.32564377682403434
13,0.9049710256024935,0.48553973083277885,0.4105504587155963,0.5712765957446808,0.4031914893617021,0.6015873015873016,0.5680851063829787,0.4142746314972847,0.6542553191489362,0.328525641025641
14,0.9027087458928975,0.5018157591393345,0.41437308868501527,0.5564681724845996,0.42505133470225875,0.6225563909774436,0.5544147843942505,0.4176334106728538,0.6324435318275154,0.32905982905982906
15,0.8947991002649904,0.4779247404231103,0.3845565749235474,0.5588888888888889,0.4,0.5891980360065466,0.5533333333333333,0.39712918660287083,0.6333333333333333,0.3113052976515565
16,0.9074368271022668,0.5179879806856877,0.42966360856269115,0.5653923541247485,0.4295774647887324,0.6297935103244838,0.5653923541247485,0.4270516717325228,0.670020120724346,0.3463338533541342
17,0.892912082036509,0.47494154957845564,0.40825688073394495,0.5603357817418678,0.40713536201469047,0.6071987480438185,0.559286463798531,0.41414141414141414,0.6253934942287513,0.3212938005390836
18,0.9026530131204634,0.4718878725861118,0.40061162079510704,0.5640473627556513,0.3939720129171152,0.5941558441558441,0.5597416576964478,0.40752351097178685,0.6501614639397201,0.32420826623725174
19,0.8952425254290339,0.46962285389479985,0.40825688073394495,0.5276679841897233,0.3824110671936759,0.6065830721003135,0.5266798418972332,0.4144634525660964,0.6116600790513834,0.3303094983991462
20,0.89979169832783,0.5049133495604797,0.42507645259938837,0.5755693581780539,0.42132505175983437,0.6185410334346505,0.577639751552795,0.4253048780487805,0.6563146997929606,0.33544973544973544
21,0.8889556187677352,0.4923972889642215,0.4434250764525994,0.5576923076923077,0.3971153846153846,0.6229260935143288,0.5576923076923077,0.43609022556390975,0.6307692307692307,0.34345549738219894
