seed,split,used_device,elapsed_sec,pr_auc,precision_0_5,recall_0_5,f1_0_5,pred_positive_rate,roc_auc,partial_roc_auc_fpr_0_01,partial_roc_auc_fpr_0_03,partial_roc_auc_fpr_0_05,partial_roc_auc_fpr_0_1,recall_at_fpr_0_01,precision_at_fpr_0_01,recall_at_fpr_0_03,precision_at_fpr_0_03,recall_at_fpr_0_05,precision_at_fpr_0_05
42,val,cpu_after_gpu_fallback,28.41081976890564,0.482952613751897,0.7,0.2946611909650924,0.4147398843930636,0.015683574324841253,0.9009157231372323,0.6378244894134966,0.7006870829868208,0.7325612802307565,0.779754877011418,0.39014373716632444,0.6022187004754358,0.5308008213552361,0.40644654088050314,0.62217659137577,0.3251072961373391
42,test,cpu_after_gpu_fallback,28.41081976890564,0.49399009538622635,0.7371428571428571,0.2648870636550308,0.38972809667673713,0.0133884171065718,0.8985156911876625,0.6418128353355168,0.7116612041140316,0.7433521363928739,0.7884893725984576,0.4106776180698152,0.6163328197226502,0.5646817248459959,0.421455938697318,0.6375770020533881,0.3304949441192123
2026,val,cpu_after_gpu_fallback,31.483304023742676,0.4854508035089884,0.7051597051597052,0.2946611909650924,0.41564083997103546,0.015568816463927779,0.9016171491845842,0.6391767059554381,0.7013043299319901,0.7331496289545427,0.7802077507001217,0.38809034907597534,0.6019108280254777,0.5369609856262834,0.4098746081504702,0.6149897330595483,0.3236088600756348
2026,test,cpu_after_gpu_fallback,31.483304023742676,0.4966652740942851,0.752906976744186,0.26591375770020537,0.3930197268588771,0.013158901384744855,0.8986526557957629,0.6428597761400472,0.712143259179302,0.7443326060268666,0.7886550376713273,0.41478439425051333,0.616793893129771,0.5616016427104723,0.4207692307692308,0.6437371663244353,0.33262599469496024
777,val,cpu_after_gpu_fallback,27.70536708831787,0.4841878928393695,0.6992665036674817,0.2936344969199179,0.4135936370209689,0.015645321704536762,0.9004071897628225,0.6402743210564283,0.7012070326411162,0.7326229518293101,0.7789154300156874,0.39630390143737165,0.6059654631083202,0.5379876796714579,0.41001564945226915,0.6129363449691991,0.32235421166306694
777,test,cpu_after_gpu_fallback,27.70536708831787,0.4919492815587738,0.7293447293447294,0.26283367556468173,0.3864150943396226,0.01342666972687629,0.8983552498462897,0.6400204575906682,0.7123378813709507,0.7440191436005683,0.7881519663490868,0.4086242299794661,0.613251155624037,0.5605749486652978,0.4196771714066103,0.6406570841889117,0.33226837060702874
1001,val,cpu_after_gpu_fallback,30.057907342910767,0.4863707470177395,0.7007299270072993,0.29568788501026694,0.41588447653429605,0.015721826945145744,0.9010248664906122,0.6400193916265031,0.7016903715667798,0.7333847676138855,0.7803151023543918,0.3942505133470226,0.6066350710900474,0.5441478439425051,0.4140625,0.6149897330595483,0.32395889670091943
1001,test,cpu_after_gpu_fallback,30.057907342910767,0.49483790934841587,0.7352112676056338,0.2679671457905544,0.3927765237020316,0.013579680208094254,0.8979820493348354,0.6426861879756369,0.712778507779877,0.7451423700149307,0.7892524496273403,0.4137577002053388,0.6171516079632465,0.5698151950718686,0.42366412213740456,0.6396303901437371,0.33386923901393356
2048,val,cpu_after_gpu_fallback,27.75852918624878,0.4839311405435679,0.7103274559193955,0.28952772073921973,0.4113785557986871,0.01518629026088287,0.8997855968466851,0.6389791745959368,0.7009855184059626,0.7327283876694425,0.7781702377724062,0.3860369609856263,0.6006389776357828,0.5400410677618069,0.4122257053291536,0.6078028747433265,0.3222645617855199
2048,test,cpu_after_gpu_fallback,27.75852918624878,0.4895877873892466,0.7329545454545454,0.2648870636550308,0.3891402714932127,0.013464922347180781,0.897720215429521,0.6386723409108997,0.7087708892451774,0.74122513567668,0.7867737214005747,0.4106776180698152,0.6144393241167435,0.555441478439425,0.4180834621329212,0.6396303901437371,0.33297701763762694
