model,base_config,seed,split,source,pr_auc,precision_0_5,recall_0_5,f1_0_5,pred_positive_rate,roc_auc,partial_roc_auc_fpr_0_01,partial_roc_auc_fpr_0_03,partial_roc_auc_fpr_0_05,partial_roc_auc_fpr_0_1
lgbm_auc_unweighted_seed2026,lgbm_auc_unweighted,2026,val,loaded_bundle_model,0.4854508035089884,0.7051597051597052,0.2946611909650924,0.41564083997103546,0.015568816463927779,0.9016171491845842,0.6391767059554381,0.7013043299319901,0.7331496289545427,0.7802077507001217
lgbm_auc_unweighted_seed2026,lgbm_auc_unweighted,2026,test,loaded_bundle_model,0.4966652740942851,0.752906976744186,0.26591375770020537,0.3930197268588771,0.013158901384744855,0.8986526557957629,0.6428597761400472,0.712143259179302,0.7443326060268666,0.7886550376713273
