seed,split,used_device,elapsed_sec,pr_auc,precision_0_5,recall_0_5,f1_0_5,pred_positive_rate,roc_auc,partial_roc_auc_fpr_0_01,partial_roc_auc_fpr_0_03,partial_roc_auc_fpr_0_05,partial_roc_auc_fpr_0_1
42,val_real_labels_eval,cpu_after_gpu_fallback,5.985274314880371,0.04547300548494834,0.0,0.0,0.0,0.0,0.4033055974732753,0.5124257769971874,0.5230459802075683,0.5311992245042316,0.5361974193230353
42,test_real_labels_eval,cpu_after_gpu_fallback,5.985274314880371,0.05667361850432214,0.0,0.0,0.0,0.0,0.43608227862766324,0.5144461253232487,0.5330512769381205,0.546770096934901,0.5554865086057821
2026,val_real_labels_eval,cpu_after_gpu_fallback,9.140809774398804,0.04911806887480386,0.0,0.0,0.0,0.0,0.5138670597649504,0.5061665337258113,0.5172555544052422,0.5247912127695589,0.5366880154500092
2026,test_real_labels_eval,cpu_after_gpu_fallback,9.140809774398804,0.04350946356864595,0.0,0.0,0.0,0.0,0.4950231977048526,0.5034993560634646,0.5124661917407355,0.5176770680376105,0.5275603066374109
777,val_real_labels_eval,cpu_after_gpu_fallback,5.8897199630737305,0.035856768661867516,0.0,0.0,0.0,0.0,0.42601655274909894,0.49804063158895,0.5050970978290166,0.5128855658530403,0.515120755154954
777,test_real_labels_eval,cpu_after_gpu_fallback,5.8897199630737305,0.03664287772742189,0.0,0.0,0.0,0.0,0.42888173404903845,0.4996452356462694,0.5079229410684619,0.5154136520802709,0.5162336391412329
