target_fpr,actual_fpr,recall_at_fpr,threshold,precision_at_fpr,pred_positive_rate,pred_positive_count
0.005,0.004887158296249206,0.30390143737166325,0.44960291070847574,0.7064439140811456,0.01602784790758167,419
0.01,0.009972981563890655,0.41478439425051333,0.3048805554740438,0.616793893129771,0.02505546629944151,655
0.02,0.01994596312778131,0.5112936344969199,0.18397265293472523,0.498,0.03825262030449086,1000
0.03,0.029918944691671966,0.5616016427104723,0.13634483441620554,0.4207692307692308,0.049728406395838115,1300
0.05,0.04998410680228862,0.6437371663244353,0.09129071528267689,0.33262599469496024,0.07210618927396527,1885
