model,split,target_fpr,actual_fpr,recall_at_fpr,threshold,precision_at_fpr,pred_positive_rate,pred_positive_count
proxy_time_model,val,0.005,0.00499617228736049,0.27870090634441086,0.460328294761504,0.7484787018255578,0.018857820449068585,493
proxy_time_model,val,0.01,0.009952052862726136,0.3716012084592145,0.3284364611208049,0.6657645466847091,0.028267605095054125,739
proxy_time_model,val,0.02,0.019944397437447116,0.46676737160120846,0.20523982364251886,0.555256064690027,0.04257353784951995,1113
proxy_time_model,val,0.03,0.029896450300173256,0.5181268882175226,0.14905114508644576,0.4803921568627451,0.05462265233523314,1428
proxy_time_model,val,0.05,0.049719972601635846,0.601963746223565,0.10033237983391212,0.39241752831117677,0.07768810006502697,2031
proxy_time_model,test,0.005,0.004850865939704939,0.2278797996661102,0.4539043172707818,0.6928934010152284,0.015071532399969398,394
proxy_time_model,test,0.01,0.009982360487491982,0.32053422370617696,0.32378807201967597,0.6066350710900474,0.024213908652742713,633
proxy_time_model,test,0.02,0.019764271969211034,0.42153589315525875,0.2121712692877186,0.5060120240480962,0.038176115063881876,998
proxy_time_model,test,0.03,0.02990699166132136,0.48831385642737896,0.15825426305688473,0.439519158527423,0.05091423762527733,1331
proxy_time_model,test,0.05,0.04999198203976908,0.5626043405676127,0.10735465420668333,0.3508589276418532,0.07348328360492694,1921
