model,split,roc_auc,pr_auc,precision_0_5,recall_0_5,f1_0_5,pred_positive_rate
random_forest,test,0.8810201605376144,0.42096218675005725,0.3665031534688157,0.5369609856262834,0.4356518117451062,0.05458648917450845
logreg,test,0.8559623682039447,0.2945012307560724,0.13574833174451859,0.731006160164271,0.22897571956906254,0.20063499349705455
random_forest,val,0.8831519335853619,0.41243030359082666,0.34347532116294793,0.5215605749486653,0.4141867101508357,0.05657562543034198
logreg,val,0.8504534946106721,0.2983708935005032,0.13405797101449277,0.7217659137577002,0.22611772274043102,0.20059674087675006
